Item,Price
Culantro,35.00
Curry Leaves,128.00
Dahi - 2 Lbs.,23.00
Dahi - 2 Lbs. Greek Yogurt,29.00
Dahi - 2 Lbs. Low Fat,23.00
Dahi - 2 Lbs. Malai.,19.00
Dahi - 2 Lbs. Non Fat,23.00
Dahi - 2 Lbs. Organic,31.00
Dahi 4 Lb. Regular,33.00
Dahi 4Lbs. Low Fat,33.00
Dahi Bucket,27.00
Dahi Mango 2 Lb./8 Pks,24.00
Dahi Mango 5.3 Oz./24pks,20.00
Dahi Plain 4 Oz./ 12 pks,8.00
Dahi Strawbery 4 Oz./ 12pks,8.00
Daily,0.00
Daily:Avocados,39.00
Daily:Tomato Plum,22.00
dano milk powder,156.00
dano milk powder Pcs,26.00
Darbar  Creamy Sela Basmati 20,34.00
Darbar Golden Sela Basmati 10 l,34.00
Darbar Masmati Rice 10Lb.,35.00
Darket Flower 10 Lb.,72.00
Darket Flower Leafs,55.00
Data Saag,45.00
Dates - Medjool,44.00
Dates - Pitted Meharban 12 X 24,36.00
DD Kerala Mixture 24 X 400,55.00
DD Kerala Mixture HOT 24 X 400,55.00
DD Sambar Ready To Mix 454 Gms,60.00
Deshi Okra,20.00
Desi Ghee 16 Oz.,65.00
Desi Ghee 32 Oz.,120.00
Desi Papri 10Lbs,45.00
Desi Papri 20Lbs,60.00
Dhania-Local,26.00
Dhania-TX- Wood,30.00
Dhania - 60 Bunches Paperbox,33.00
Dhoop Stick,4.50
Dill,36.00
Din Din  Candy Jar 24 Bottles,4.00
Din Din Candy Cup 12 Cups,1.00
Diya Single Fancy,0.50
Diya with WAX,2.50
Dosa mix,17.00
Dosa Mix Vijay,40.00
Dosakai,42.00
Drinks,0.00
Drinks:Aloe Vera Drink 16 Oz.Organic,30.00
Drinks:Aloe Vera Drink 16.9 Oz. X 20,22.00
Drinks:Aloe Vera Drink 50.7 Oz Organic,42.00
Drinks:Aloe Vera Drink 50.7Oz.X 12,32.00
Drinks:Aloe Vera Lemon Ginger 20/16.9,24.00
Drinks:Aloe Vera Watermelon 16.9 oz.,21.00
Drinks:Bubble Tea 24 X 16.6 oz.,39.00
Drinks:cash,18.00
Drinks:Cherry Juice 12/ 33.8 Oz.,32.00
Drinks:COCO Coconut milk Drink 16.40 F,34.00
Drinks:COCO Coconut milk Drink 9.8 Fl.,38.00
Drinks:Coco Coconut Water 9.8 Oz. X 24,18.00
Drinks:Fanta,18.00
Drinks:Foco - Coconut,29.00
Drinks:Foco - Coconut Tall,36.00
Drinks:Foco - Guava,32.00
Drinks:Foco - Lychee,32.00
Drinks:Foco - Mango,33.00
Drinks:Foco - Passian Fruit,32.00
Drinks:Foco - Pomagranate drink,33.00
Drinks:Foco - Sugarcane,29.00
Drinks:Foco - Tamaraind,32.00
Drinks:Foco - Tamarind Tall,37.00
Drinks:Guava Drinks 8.45 Oz.,6.00
Drinks:Guava Nectar 1 Lit X 6 Pcs.,13.50
Drinks:Lassi-Mango,24.00
Drinks:Lassi-Rose,24.00
Drinks:Lassi-Strawberry,24.00
Drinks:Lassi-Sweet,24.00
Drinks:Limca Bottle 330 Mls.,16.00
Drinks:Limca Cans 250 Mls.,19.00
Drinks:Lucozade Glucose drink 12 X 1 L,28.00
Drinks:Lucozade Orange Drink 12 X 1 Li,28.00
Drinks:Lucozade Orange Small,21.00
Drinks:Maaza Guava 12 X 330 Ml.,12.00
Drinks:Maaza Lychee 6X1 Lit,14.00
Drinks:Mango Drink  8.45 oz.,0.00
Drinks:Mazaa Guava 12 X 330 Mls.,13.00
Drinks:Mazaa Guava 6 X 1 Lt.,13.00
Drinks:Mazaa Lyche 12 X 330 Mls.,13.00
Drinks:Mazaa Lyche 6 X 1Lt.,13.00
Drinks:Mazaa Mango 12 X 330 ml.,13.00
Drinks:Mazaa Mango 6 X 1Lt..,13.00
Drinks:Milo Powder,54.00
Drinks:Panchy Drink 250 Mls. X 30,18.00
Drinks:Pomagranate Juice,43.00
Drinks:Pomagranate Juice Organic 12/33,32.00
Drinks:Pomagranate Juice Small,22.00
Drinks:Ramune Drink Bottle Soda,36.00
Drinks:Rice Milk 16.9 Oz./20 Pks,24.00
Drinks:RoohAfza,45.00
Drinks:Sip Masala Soda 500 Ml.,49.00
Drumstic Premium,90.00
Drumstics,150.00
Drumstics Leaves,55.00
Edoes Guyana,1.60
Edos,65.00
Edos Chinese,39.00
Egg Noodles,60.00
Eggplant  American,24.00
Eggplant  Jelio,60.00
Eggplant African,95.00
Eggplant Canadian,14.00
Eggplant Chinese,59.00
Eggplant Green - Long,58.00
Eggplant Green - Round,45.00
Eggplant Griffiti,45.00
Eggplant Guyanish,35.00
Eggplant Indian - Round,34.00
Eggplant Indian Local,22.00
Eggplant Italian,24.00
Eggplant Japanish,42.00
Eggplant Philipino,59.00
Eggplant Plants,21.00
Eggplant Thai,52.00
Eggplant Thai White,59.00
Eggplant White - Long,40.00
Eggplant White - Round,73.00
Electrical Plug,1.00
Euro Idly Pot,8.00
Extra Virgin Oil,62.00
Fatafat Candy 18 Jars,90.00
Fava Beans,50.00
Fiddle Head,0.00
Fig Fresh 6 Pcs,4.50
Figs Crown 24/14oz.,98.00
First Love Perfume 100 Mls.,264.00
Flat Beans,72.00
Flat Puri,50.00
Flowers,25.00
Foam Bowl 12.9 Oz,19.00
Foam Bowl 5 Oz.,18.00
Foam Bowl 6 Oz.,22.00
Foam Cups 6.oz,45.00
Foam Cups 8.oz,40.00
Foam Plates 5 comp,45.00
Foam Plates 6 Comp,35.00
Foam Plates 9' 3 Comp,18.00
Foam Plates 9 ' Plain,18.00
Fork White,12.00
frame,15.00
FREIGHT,0.00
Fresh Almond,0.00
Fresh Chick Peas,57.00
Fresh Green Peas,28.00
Fresh Peanuts,48.00
Fresh Tamarind,45.00
FROZEN,
FROZEN:Amul Butter 1.1 Lb/ 20 Pks.,105.00
FROZEN:Banana Leaves # 20,33.00
FROZEN:Broccoli Chopped 12 X 2.5 LBs.,33.00
FROZEN:Broccoli Spears 12 X 2  LBs.,34.00
FROZEN:Butter Desi,90.00
FROZEN:Carrots Diced,18.00
FROZEN:Cauliflower Frozen,31.00
FROZEN:Chapati - Malasian,57.00
FROZEN:Chapati Family Pack,65.00
FROZEN:Chapati Oat Family Pack,54.00
FROZEN:Chapati Reg - Kawan,54.00
FROZEN:Chopped Spinach Endico,28.00
FROZEN:Chopped Spinach Regal,29.00
FROZEN:Coconut Water - David,26.00
FROZEN:Corn cut Regal,36.00
FROZEN:Cut Beans - Regular cut 12/ 2 l,25.00
FROZEN:Cut Beans 1,18.00
FROZEN:Cut Okra Regal 12 X 2 Lbs.,28.00
FROZEN:DD Aviyal Mix,60.00
FROZEN:DD Banana Fry,55.00
FROZEN:DD Banana Roast,50.40
FROZEN:DD Breadfruit,52.00
FROZEN:DD Cabbage Wada 300 Gms. X 28 P,58.00
FROZEN:DD Canadian Paratha,48.00
FROZEN:DD Canadian Square Roti 30 Pcs.,49.00
FROZEN:DD Chapati,46.00
FROZEN:DD Chapati Home Made Style,59.00
FROZEN:DD Chicken Biriyani,66.00
FROZEN:DD Chicken Curry,74.00
FROZEN:DD Chicken Tikka Masala,77.00
FROZEN:DD Chinese Potato Block,52.00
FROZEN:DD Chinese Potato Cooked,87.00
FROZEN:DD CKD PD T/Off 100/150 10 X 2L,106.00
FROZEN:DD CKD PD T/Off 91/110 10X2 Lbs,113.00
FROZEN:DD Cocktail Samosa 300 Gms. X 1,26.00
FROZEN:DD Coconut Shredded  100 Gms. X,70.00
FROZEN:DD Coconut Shredded 454 Gms. X,80.00
FROZEN:DD Coconut Sliced,76.00
FROZEN:DD Cut Mango,76.00
FROZEN:DD Cut Okra,40.00
FROZEN:DD Cutlets,50.40
FROZEN:DD Daily D Plum Special 700 X 1,84.00
FROZEN:DD Dates & Cashew Cake 700 Gms.,97.00
FROZEN:DD Desi Delight Parotha 908 Gms,69.00
FROZEN:DD Drum Stick,88.00
FROZEN:DD Drum Stick 12 Pkts,22.00
FROZEN:DD Edo,48.00
FROZEN:DD Elayada,77.00
FROZEN:DD Elayada Jackfruit,77.00
FROZEN:DD Fish Biriyani 10 oz X 28 pkt,68.00
FROZEN:DD Fruit Rich Plum 700 Gms.,88.00
FROZEN:DD Garlic Pearls 282 gms. X 18,53.00
FROZEN:DD Gooseberry,70.00
FROZEN:DD Green Chilli,40.00
FROZEN:DD Idiyapam - WHITE,59.00
FROZEN:DD Idiyapum - BROWN,50.00
FROZEN:DD Idly,62.00
FROZEN:DD Idly Vada,38.00
FROZEN:DD Jackfruit,75.00
FROZEN:DD Jackfruit Cake 700 X 12 Pks,99.00
FROZEN:DD Jackfruit Seeds,72.00
FROZEN:DD Jackfruit Sliced 400 Gms. X,78.00
FROZEN:DD Jalebi Red 227 Gms X 28,74.00
FROZEN:DD Jalebi yellow 227 Gms X 12,34.00
FROZEN:DD Kerala Chicken Curry 10 10oz,77.00
FROZEN:DD Kerala Fish Curry,108.00
FROZEN:DD King Fish Steak 10X4 5/10,185.00
FROZEN:DD King Fish Steak 2X20 Lbs.,168.00
FROZEN:DD Kumblyppum,48.60
FROZEN:DD Laddu,50.40
FROZEN:DD Lamb Biriyani,73.00
FROZEN:DD Long Beans,36.00
FROZEN:DD Mackerel Curry 1 lbs X 28 Pc,57.00
FROZEN:DD Mackerel P/R 2lb.X 20 Pks.,97.00
FROZEN:DD MackeWhole 2lb. X 20 Pks.,76.00
FROZEN:DD Masala Dosa,50.40
FROZEN:DD Masala Dosa Wada,34.00
FROZEN:DD Mature Plum  800 Gms. X 12 P,85.00
FROZEN:DD Mixed Veg.,36.00
FROZEN:DD Mixed Veg. Wrap,38.00
FROZEN:DD Momos Shrimp,43.00
FROZEN:DD Momos Vegetables,41.00
FROZEN:DD Mutton Biriyani,73.00
FROZEN:DD Mutton Curry,98.00
FROZEN:DD Neyyappam,56.00
FROZEN:DD Ottapam,30.00
FROZEN:DD Palada,48.00
FROZEN:DD Palappam,44.00
FROZEN:DD Paratha 28 Pcs.,62.00
FROZEN:DD Paratha Aaloo,46.00
FROZEN:DD Paratha Ceylon,60.00
FROZEN:DD Paratha Desi Delight 908 Gms,62.00
FROZEN:DD Paratha Family,59.00
FROZEN:DD Paratha Jeera,50.00
FROZEN:DD Paratha Jumbo Cooked 908 Gms,62.00
FROZEN:DD Paratha Kothu 2lb X 16 Pks.,60.00
FROZEN:DD Paratha Kothu 350 Gms. X 36,60.00
FROZEN:DD Paratha Malabar,62.00
FROZEN:DD Paratha Malabar Family,72.00
FROZEN:DD Paratha Onion,50.00
FROZEN:DD Paratha Orange 330 Gms. X 12,23.00
FROZEN:DD Paratha Quinoa,82.00
FROZEN:DD Paratha Restaurant Style 454,69.00
FROZEN:DD Paratha Wheat,46.00
FROZEN:DD Parippuvada 300 Gms. X 28 Pk,53.00
FROZEN:DD Parotha BeetRoot 330 Gms.X12,25.00
FROZEN:DD Parotha Blueberry,25.00
FROZEN:DD Parotha Carrot 330 Gms. X 12,25.00
FROZEN:DD Parotha Coriender 330 Gms. X,25.00
FROZEN:DD Parotha Green Apple 330 Gms.,25.00
FROZEN:DD Parotha Mango,25.00
FROZEN:DD Parotha Orange 330 Gm X 12 P,26.50
FROZEN:DD Parotha Real Choc 330 Gms. X,25.00
FROZEN:DD Parotha Spinach 330 Gms. X 1,25.00
FROZEN:DD Parotha Strawberry 330 Gms.,25.00
FROZEN:DD Plum Cake 12 Pcs. X 700 Gms.,60.00
FROZEN:DD Plum Cake 350Gms. X 18,68.00
FROZEN:DD Plum Daily N Cashew  700 Gms,88.00
FROZEN:DD Plum Magic 700gms. X 12,60.00
FROZEN:DD Plum Mature Cake 800 Gms. X,90.00
FROZEN:DD Porotha Veg Coriender 300 Gm,25.00
FROZEN:DD Potato Masala,38.00
FROZEN:DD Puff,46.80
FROZEN:DD Puff Pastry 530 Gms. X  26 P,81.00
FROZEN:DD Punjabi Samosa 6 X 25 Pcs.,75.00
FROZEN:DD Puttu Kadala Brown,38.00
FROZEN:DD Puttu Kadala White,37.00
FROZEN:DD Ratalu,44.80
FROZEN:DD Red Onion frozen,85.00
FROZEN:DD Red Onion Vada 300 Gms.X 12,26.50
FROZEN:DD Rich Plum Cake 700 Gms. X 12,88.00
FROZEN:DD Romali Roti,50.00
FROZEN:DD Roti Wrap Mixed Vegetables,38.00
FROZEN:DD Roti Wrap Potatos Masala,45.00
FROZEN:DD Sambar Mix,52.00
FROZEN:DD Sambar Ready to Eat 454Gms.X,24.00
FROZEN:DD Samosa,42.00
FROZEN:DD Samosa Restaurant 10 X 1135,77.00
FROZEN:DD Samosa Veg. 227 Gms.X 28 Pks,49.00
FROZEN:DD Sardine Whole 2ld. X 20 Pks.,50.00
FROZEN:DD Shrimp Biriyani,70.00
FROZEN:DD Shrimp Curry,82.00
FROZEN:DD Silver Belly 2lb. X 20 Pack,76.00
FROZEN:DD Snake guard,59.00
FROZEN:DD Spinach Wada 300 Gms . X 28,57.00
FROZEN:DD Tandoori Naan 24 Pks.,45.00
FROZEN:DD Tapioca,48.00
FROZEN:DD Tapioca Sliced,52.00
FROZEN:DD Tender Jackfruit 32 X .88Lbs,92.00
FROZEN:DD Tender Jackfruit 400gms.,34.00
FROZEN:DD TenderJack Burger 283 Gms. X,55.00
FROZEN:DD Tindora,42.00
FROZEN:DD Upamas,39.20
FROZEN:DD Uttapum,42.00
FROZEN:DD Uttapum Onion,42.00
FROZEN:DD Uzhunnuvada,42.00
FROZEN:DD Vattayappam,42.00
FROZEN:DD Veg. Pulav,54.00
FROZEN:DD Vegetables Burger 283 Gms. X,48.00
FROZEN:DD Vellayappam,42.00
FROZEN:DD Yam,46.00
FROZEN:DD Yuca Cassava 908 gms. X 18 P,52.00
FROZEN:Deep - Aloo Paratha,54.00
FROZEN:Deep - Bhatura 20 Pcs.(8),67.00
FROZEN:Deep - Bhatura 5 Pcs.,60.00
FROZEN:Deep - ChiliCoriander Naan ( 24,48.00
FROZEN:Deep - Cocktail Dal Samosa,75.00
FROZEN:Deep - Cocktail Potato Samosa,75.00
FROZEN:Deep - Coconut Shredded.,48.00
FROZEN:Deep - Dahi Vada 10 Pcs.,29.00
FROZEN:Deep - Diced Potato 12 Oz.,29.00
FROZEN:Deep - Fafda,39.00
FROZEN:Deep - Family Paratha Mirch Mas,49.00
FROZEN:Deep - Famliy Paratha,63.00
FROZEN:Deep - Garlic Naan 12 Pcs.,55.00
FROZEN:Deep - Garlic Naan 4 Pcs.,64.00
FROZEN:Deep - Home Style Paratha,55.00
FROZEN:Deep - Idly Family Packs 24 Pcs,42.00
FROZEN:Deep - Jumbo Samosa 60 Pcs.,42.00
FROZEN:Deep - Lilva Kachori,33.00
FROZEN:Deep - Masala Dosa 4 Pcs X 12,28.00
FROZEN:Deep - Masala Paratha 5 Pcs (24,51.00
FROZEN:Deep - Menduvada,28.00
FROZEN:Deep - Methi Chopped 10 oz. X 2,45.00
FROZEN:Deep - Methi Paratha,51.00
FROZEN:Deep - MixVeg. Paratha,70.00
FROZEN:Deep - Muthia 12 Oz. X 24,40.00
FROZEN:Deep - Mysore Masala Dosa 4 Pcs,25.00
FROZEN:Deep - Onion Kulcha 4 Pcs. X 24,49.50
FROZEN:Deep - Onion Naan Kontos 10 Pcs,36.00
FROZEN:Deep - Paneer Kulcha 4 Pcs.,37.00
FROZEN:Deep - Paneer Paratha,70.00
FROZEN:Deep - Punjabi Samosa 8 pcs (8),45.00
FROZEN:Deep - Punjabi Tinda 12 Oz.,37.00
FROZEN:Deep - Ratalu,60.29
FROZEN:Deep - Samosa Jalapinios 24 Pcs,63.00
FROZEN:Deep - Samosa Party Veg 24 Pcs.,63.00
FROZEN:Deep - Spring Roll 10 Pcs. X 12,73.50
FROZEN:Deep - Surti Papri,49.00
FROZEN:Deep - Tandoori Naan 16 Pcs.,51.00
FROZEN:Deep - Tandoori Naan 5 Pcs,57.00
FROZEN:Deep - Tandoori Roti 5 Pcs,68.00
FROZEN:Deep - Tuver Lilwa,44.00
FROZEN:Deep - Whole Wheet Naan,63.00
FROZEN:Flaky Paratha Malaysian,62.00
FROZEN:French Fries 3/8 Reddy Raw,39.00
FROZEN:Green Peas Regal 12 X 2.5 Lbs.,33.00
FROZEN:Gulab Jamun,68.00
FROZEN:Gulab Jamun 850 Gms. X 10,55.00
FROZEN:Gulab jamun in Drum,68.00
FROZEN:Gulab Jamun Kaleva 200 Pcs.,65.00
FROZEN:Gulab Jamun Kaleva 300 Pcs.,67.00
FROZEN:Italian Blend Regal,34.00
FROZEN:Jack Fruit - G & F,112.00
FROZEN:Jackfruit Green,140.00
FROZEN:Lima Beans Regal 12 X 2.5 Lbs.,50.00
FROZEN:Mix Vegetables 12 X 2.5 Lbs.,33.00
FROZEN:Mustard Green,46.00
FROZEN:Nanak Gulab Jamun 300 Pcs.,79.00
FROZEN:Onion Diced,14.00
FROZEN:Oriental Blend,20.00
FROZEN:Paratha Family Pack,65.00
FROZEN:Paratha Malaysian,57.00
FROZEN:Paratha Mini Malaysian,40.00
FROZEN:Paratha Onion Family pack,72.00
FROZEN:Paratha Reduced Fat Malaysian,57.00
FROZEN:Paratha Wheat Malaysian,72.00
FROZEN:Peas & Carrot Regal,32.00
FROZEN:Pigeon Peas,22.00
FROZEN:Punjabi Samosa 12 X 8 75 Gms.La,59.00
FROZEN:Raju 7' 3 Cheese Pizza 7 Oz.,30.00
FROZEN:Raju 7' Paneer Tikka Pizza,30.00
FROZEN:Raju 7 ' Italiano Pizza 7 Oz.,34.00
FROZEN:Raju 7 ' Tex-Mex Pizza 7Oz./12,30.00
FROZEN:Raju 7 ' Veggie Delight Pizza,30.00
FROZEN:Raju Bumbaiya Vada Patty,39.00
FROZEN:Raju Cheese Chillie Corn Pocket,49.00
FROZEN:Raju Cheese Jalapeneo Samosa 19,57.00
FROZEN:Raju Cheesy Mex Beans Pocket,47.00
FROZEN:Raju Chinese Spring Samosa,49.00
FROZEN:Raju Dal Makhani 10 Oz./ 12,30.00
FROZEN:Raju Dum Biriyani 10 oz.,31.00
FROZEN:Raju Methi Mutter Malai 10 Oz.,39.00
FROZEN:Raju Palak Paneer 10 Oz. / 12,39.00
FROZEN:Raju Paneer Butter Masala 10 Oz,39.00
FROZEN:Raju Paneer N Cheese Samosa,57.00
FROZEN:Raju Paneer Tikka Masala 10 Oz.,39.00
FROZEN:Raju Paneer Tikka Pizza 7 Oz. /,30.00
FROZEN:Raju Pav Bhaji 10 Oz. / 12,32.00
FROZEN:Raju Punjabi Chole 10 Oz. / 12,30.00
FROZEN:Raju Punjabi Samosa 24 Pcs/ 6,48.00
FROZEN:Raju Punjabi Samosa nonG,46.00
FROZEN:Raju Sabudana Wada 20 Pcs./ 12,39.00
FROZEN:Rasmalai 20 Pcs 8 Packs Kaleva,75.00
FROZEN:Rasmalai Big 12 Pcs.- Nanak,98.00
FROZEN:Rasmalai Kesar 1 Kg. X 10,90.00
FROZEN:Rasmalai Mango 850 Gms. X 10,78.00
FROZEN:Rasmalai Small 20 Pcs.,98.00
FROZEN:Rasmalai Small 8 Pcs.,48.00
FROZEN:Roti Paratha Plain Kawan 24 X 5,64.00
FROZEN:Samosa Sheet Gold Label 30 X 14,72.00
FROZEN:Samosa Sheet TYJ 40/ 50 pcs. 6',59.00
FROZEN:Samosa Sheet TYJ40 /25 Pcs. 8 ',52.00
FROZEN:Samosa Sheet Wei Chuan,52.00
FROZEN:Samosa Veg. 15 X 1 Kgs.,68.00
FROZEN:Samosa Veg. 20 X 500 Gms.,55.00
FROZEN:Soy Beans Kernal 20/1 Lbs.,30.00
FROZEN:Sumeru Grated Coconut 28 X 454,66.00
FROZEN:Supari Green/ Yellow (12 Pieces,89.00
FROZEN:Tortila Land 8 X 50 Pcs.,68.00
FROZEN:Tree Tomatoes 16 X 16 Oz.,37.00
FROZEN:Tree Tomatoes 7 X 48 Oz.,44.00
FROZEN:Tuver Lilwa - Shana,21.00
FROZEN:Veg Kabab,53.00
Fruit Candy Chewing,55.00
Fruit Candy Chewing:Golden Canary Melon,35.00
FRUITS,0.00
FRUITS:Anar 22 Sz.,49.00
FRUITS:Anar 30 Sz.,32.00
FRUITS:Anar 6 Sz.,24.00
FRUITS:Anar Loose,65.00
FRUITS:Apple 72 pcs.,36.00
FRUITS:Apple Gala,60.00
FRUITS:Apple Gala Baby 175 Ct,32.00
FRUITS:Apple Golden,40.00
FRUITS:Apple Green,35.00
FRUITS:Apple Lady,55.00
FRUITS:Banana,25.00
FRUITS:Banana - Green,20.00
FRUITS:Banana Baby,20.00
FRUITS:Banana Red,18.00
FRUITS:Banana Thai,39.00
FRUITS:Bartlett Pears,40.00
FRUITS:Black Grapes Seedless,33.00
FRUITS:Blueberry,0.00
FRUITS:Bor # 2,59.00
FRUITS:Breadfruit,45.00
FRUITS:Canery Melon,35.00
FRUITS:Cantalop Golden 12 Size,34.00
FRUITS:Cantalops 9 Sz.,39.00
FRUITS:Cherry,24.00
FRUITS:Chickoo,59.00
FRUITS:Clementine 37 Lbs.,34.00
FRUITS:Clementine Loose,28.00
FRUITS:Dates ---  Fresh,65.00
FRUITS:Dragon Fruit,24.00
FRUITS:Fresh peanuts,60.00
FRUITS:Grapes,35.00
FRUITS:Grapes Baby,47.00
FRUITS:Grapes Baby Basket,45.00
FRUITS:Grapes Black,24.00
FRUITS:Grapes Red,10.00
FRUITS:Green grapes,12.00
FRUITS:Green Jack Fruit,45.00
FRUITS:Guava - Thai,65.00
FRUITS:Guava Chinese,65.00
FRUITS:Guava Mexican in CTN,49.00
FRUITS:Hami Melon,29.00
FRUITS:Honeydew 6 Sz.,31.00
FRUITS:Jamboo,0.00
FRUITS:Kenepas,39.00
FRUITS:Kharbooja,49.00
FRUITS:Kiwi Loose,35.00
FRUITS:Lychee,50.00
FRUITS:Mag Melon,34.00
FRUITS:Mandarine 2X,28.00
FRUITS:Mandarine 3X,29.00
FRUITS:Mango,180.00
FRUITS:Mango - Mingolo,18.00
FRUITS:Mango 7 Size,11.00
FRUITS:Mango Atulofo 14 Sz.,14.00
FRUITS:Mango Baby  Lbs.,48.00
FRUITS:Mango Dominican 20 Lbs.,13.00
FRUITS:Mango Hadan,8.00
FRUITS:Mango Haiti,15.00
FRUITS:Mango Kent,13.00
FRUITS:Mango Makila,22.00
FRUITS:Mangosteen,100.00
FRUITS:Manzano Banana 20 Lb.,35.00
FRUITS:Mexican Fruit,22.00
FRUITS:Orange 40 Sz.,38.00
FRUITS:Orange 56 Sz.,37.00
FRUITS:Orange 72 Size,36.00
FRUITS:Orange 88 Size,34.00
FRUITS:Pamelo,42.00
FRUITS:Papaya Red,35.00
FRUITS:Papaya Yellow,46.00
FRUITS:Papaya Yellow Small,24.00
FRUITS:Passion Fruit,39.00
FRUITS:Peach,42.00
FRUITS:Pear Brown 90 Sz.,36.00
FRUITS:Pear Duckwell,54.00
FRUITS:Pear Green,28.00
FRUITS:Pear Green 70 SZ.,39.00
FRUITS:Pear Korean 12 Pcs.,32.00
FRUITS:Pear Korean 24 Pcs.,30.00
FRUITS:Pear Yali 80ct,34.00
FRUITS:Persimmon 25 Lbs.,49.00
FRUITS:Persimmon 35 SZ.,12.00
FRUITS:Persimmon 9 SZ.,9.00
FRUITS:Plum,44.00
FRUITS:Ramfal,55.00
FRUITS:Ripe Jackfruit / lb.,1.10
FRUITS:Sitafal,69.00
FRUITS:Star Fruit,24.00
FRUITS:Sugar Cane Fresh,28.00
FRUITS:Tangerine Bag,28.00
FRUITS:Tangerine Big Box,52.00
FRUITS:Tangerine Box 3 X,30.00
FRUITS:Watermelon Pcs.,40.00
FRUITS:Watermelons,270.00
FRUITS:Young Coconut,28.00
Fumigation,0.00
Fuzzy Squash,35.00
Galka - Ghiraoula,63.00
Garbage Bag,12.00
Garlic Loose,69.00
Garlic Peeled 1 lb. X 20 Packs,60.00
Garlic Peeled 5 lb. Jar case,89.00
Garlic Regular,65.00
Garlic Regular 20 Lb.s,60.00
Ghee 128. Oz,265.00
